"Model","Prevalence","True_positives","False_negatives","True_negatives","False_positives","TPR","TNR","PPV","NPV","Accuracy","BA","BI","F1_score","MCC","Gmean","Fowlkes_Mallows_index","Markedness","Diagnostic_odds_ratio","Jaccardindex","Cohens_kappa","F_beta_score_0.5","F_beta_score_2","AUC","Run"
"Logistic Regression","0.452131938857603","292","270","537","144","0.519572953736655","0.788546255506608","0.669724770642202","0.66542750929368","0.666934835076428","0.654059604621631","0.308119209243263","0.585170340681363","0.321351607230959","0.640083828206546","0.589890563810926","0.335152279935882","4.03302469135803","0.413597733711048","0.314275434739157","0.320597277119016","0.449784349969193","0.71794278876051","0"
"Random Forest","0.452131938857603","311","251","543","138","0.55338078291815","0.797356828193833","0.692650334075724","0.683879093198992","0.687047465808528","0.675368805555991","0.350737611111982","0.615232443125618","0.363404776847659","0.664260450313757","0.619111770328542","0.376529427274716","4.87536809284601","0.444285714285714","0.357009402963044","0.337603126356926","0.477140227063517","0.727322965494536","0"
"KNN","0.452131938857603","296","266","521","160","0.526690391459075","0.765051395007342","0.649122807017544","0.662007623888183","0.65728077232502","0.645870893233208","0.291741786466417","0.581532416502947","0.301280181453249","0.634779661554092","0.584710821973635","0.311130430905727","3.6234962406015","0.409972299168975","0.296630049280714","0.319378506689685","0.453153704837722","0.694497572650645","0"
"LDA","0.452131938857603","286","276","543","138","0.508896797153025","0.797356828193833","0.674528301886792","0.663003663003663","0.666934835076428","0.653126812673429","0.306253625346858","0.580121703853955","0.321512655922205","0.637002618562857","0.585888464145914","0.337531964890455","4.07734719596723","0.408571428571429","0.312968110415983","0.317354638260098","0.442176870748299","0.716780064903507","0"
"GBM","0.452131938857603","339","223","517","164","0.603202846975089","0.759177679882526","0.673956262425447","0.698648648648649","0.688656476267096","0.681190263428807","0.362380526857615","0.636619718309859","0.367457159387003","0.676711266246604","0.637598883493157","0.372604911074096","4.79227277698786","0.466942148760331","0.365735216363428","0.351513894649523","0.511620887413221","0.733711414551554","0"
"randomguess","0.452131938857603","267","295","386","295","0.47508896797153","0.566813509544787","0.47508896797153","0.566813509544787","0.525341914722446","0.520951238758159","0.0419024775163173","0.47508896797153","0.0419024775163173","0.518928555084372","0.47508896797153","0.0419024775163173","1.18428037920138","0.311551925320887","0.0419024775163175","0.263938315539739","0.395907473309609","0.523731324564567","0"
"Logistic Regression","0.438455349959775","302","243","554","144","0.554128440366973","0.793696275071633","0.677130044843049","0.695106649937265","0.688656476267096","0.673912357719303","0.347824715438606","0.609485368314833","0.359823738013169","0.663181482725897","0.612549602623736","0.372236694780314","4.78132144490169","0.438316400580552","0.354890146216907","0.33488578398758","0.476190476190476","0.722541468415657","1"
"Random Forest","0.438455349959775","285","260","562","136","0.522935779816514","0.805157593123209","0.676959619952494","0.683698296836983","0.68141592920354","0.664046686469861","0.328093372939723","0.590062111801242","0.343990512073914","0.648880354021504","0.594984375226903","0.360657916789477","4.52969457013574","0.418502202643172","0.336484023681401","0.323202540258562","0.452956134774317","0.736857601009437","1"
"KNN","0.438455349959775","283","262","541","157","0.519266055045872","0.775071633237822","0.643181818181818","0.673723536737235","0.662912308930008","0.647168844141847","0.294337688283694","0.574619289340102","0.305413145708559","0.634403963866372","0.577912177934073","0.316905354919053","3.72205474789712","0.403133903133903","0.300686803042611","0.315496098104794","0.447077409162717","0.697268736363397","1"
"LDA","0.438455349959775","294","251","558","140","0.539449541284404","0.799426934097421","0.67741935483871","0.689740420271941","0.68543845534996","0.669438237690912","0.338876475381825","0.600612870275792","0.352734759403551","0.65669665210754","0.604511009184215","0.36715977511065","4.66852589641434","0.429197080291971","0.346613572597222","0.329522528581036","0.465337132003799","0.72115349228464","1"
"GBM","0.438455349959775","321","224","550","148","0.588990825688073","0.787965616045845","0.684434968017058","0.710594315245478","0.700724054706356","0.688478220866959","0.376956441733919","0.633136094674556","0.385887072858558","0.681252169764364","0.634921977050847","0.395029283262536","5.32547055984556","0.463203463203463","0.382807077491484","0.348837209302326","0.502504696305573","0.747605215425462","1"
"randomguess","0.438455349959775","249","296","402","296","0.456880733944954","0.575931232091691","0.456880733944954","0.575931232091691","0.523732904263878","0.516405983018322","0.0328119660366446","0.456880733944954","0.0328119660366447","0.512963823305185","0.456880733944954","0.0328119660366446","1.14246256391527","0.296076099881094","0.0328119660366448","0.253822629969419","0.380733944954128","0.502109565994585","1"
"Logistic Regression","0.436041834271923","270","272","558","143","0.498154981549816","0.796005706134094","0.653753026634383","0.672289156626506","0.666130329847144","0.647080343841955","0.29416068768391","0.565445026178011","0.309691447802464","0.629709621851832","0.570675325313078","0.326042183260889","3.87340600575895","0.394160583941606","0.302321020648577","0.30949105914718","0.432276657060519","0.710721636460302","2"
"Random Forest","0.436041834271923","275","267","575","126","0.507380073800738","0.820256776034237","0.685785536159601","0.682897862232779","0.683829444891392","0.663818424917487","0.327636849834975","0.583244962884411","0.347554696753953","0.645121650202353","0.589876186964805","0.36868339839238","4.70022590809108","0.411676646706587","0.337597038503522","0.318729717199815","0.441980070716811","0.733452737523096","2"
"KNN","0.436041834271923","273","269","543","158","0.503690036900369","0.774607703281027","0.633410672853828","0.66871921182266","0.656476267095736","0.639148870090698","0.278297740181396","0.561151079136691","0.28996907446611","0.624629636383778","0.564838601002828","0.302129884676488","3.48781233824291","0.39","0.28491515490377","0.307848443843031","0.434574976122254","0.690821230608882","2"
"LDA","0.436041834271923","262","280","565","136","0.483394833948339","0.805991440798859","0.658291457286432","0.668639053254438","0.66532582461786","0.644693137373599","0.289386274747198","0.557446808510638","0.307586089650722","0.624189152972676","0.564105211538225","0.32693051054087","3.88734243697479","0.386430678466077","0.298376635711843","0.304509530450953","0.421492921492922","0.71014260071274","2"
"GBM","0.436041834271923","297","245","545","156","0.547970479704797","0.777460770328103","0.655629139072848","0.689873417721519","0.67739340305712","0.66271562501645","0.3254312500329","0.596984924623116","0.335316759120617","0.652706328503372","0.599387532274564","0.345502556794367","4.2350863422292","0.425501432664756","0.331606620600134","0.328394515701017","0.469490989566867","0.727074132367572","2"
"randomguess","0.436041834271923","248","294","407","294","0.457564575645756","0.580599144079886","0.457564575645756","0.580599144079886","0.526950925181014","0.519081859862821","0.0381637197256424","0.457564575645756","0.0381637197256423","0.515423710146519","0.457564575645756","0.0381637197256424","1.16775417650053","0.296650717703349","0.0381637197256424","0.25420254202542","0.38130381303813","0.504761253033358","2"
"Logistic Regression","0.433628318584071","267","272","578","126","0.495361781076067","0.821022727272727","0.679389312977099","0.68","0.679806918744972","0.658192254174397","0.316384508348794","0.572961373390558","0.337202033048543","0.637732922535561","0.580123693810537","0.359389312977099","4.50297619047619","0.401503759398496","0.326756683931619","0.312866182329505","0.432318652849741","0.719678961460617","3"
"Random Forest","0.433628318584071","268","271","578","126","0.49721706864564","0.821022727272727","0.680203045685279","0.680800942285041","0.680611423974256","0.659119897959184","0.318239795918367","0.57449088960343","0.338948130924765","0.638926062816344","0.581557017376173","0.36100398797032","4.5365196509108","0.403007518796992","0.328599009234177","0.313743853898384","0.43379734541923","0.737044611232923","3"
"KNN","0.433628318584071","258","281","556","148","0.478664192949907","0.789772727272727","0.635467980295567","0.664277180406213","0.654867256637168","0.634218460111317","0.268436920222634","0.546031746031746","0.283659422178119","0.614846261364455","0.551521321377229","0.299745160701779","3.44926421083005","0.375545851528384","0.27643028792334","0.298680250057884","0.415994840374073","0.692563828217237","3"
